family,class,cap-diameter,does-bruise-or-bleed,gill-attachment,stem-height,stem-width,has-ring
2,0,8,0,6,7,12.5,0
16,1,11,1,2,6,15,0
16,1,16.5,0,2,6,35,0
16,1,5.5,0,2,3.5,6.5,0
4,0,6,0,4,5,14,0
4,0,3.5,0,4,6.5,7.5,0
4,0,5,0,4,7,50,0
15,0,11.5,0,2,2.5,15,0
15,0,8.5,0,5,4.5,22.5,0
21,1,7.5,0,5,1.5,15,0
6,1,4.5,0,5,0,0,0
9,0,10,0,5,5,20,1
7,1,1.5,0,5,4,1.5,0
3,1,4,0,4,0,0,1
3,1,3,0,4,0,0,0
3,0,50,0,6,6.5,35,0
3,1,19,0,6,5.5,40,0
3,1,5,0,6,3.5,5.5,1
19,1,4,0,4,5.5,30,1
3,1,3,0,4,3.5,15,0
3,1,10,0,4,3.5,25,0
13,0,5.5,0,4,5.5,20,0
11,1,1.25,0,4,3.5,5.5,0
